,rsp_id,country,departamento,municipio,neighborhood,rural_urban,rsp_sex,rsp_age,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_currency,exp_6months_health,avg_income_currency,avg_income_amount,exp_6months_health_USD
1571,3427,SLV,1184,15574,Canton san juan buena vista,1,1,35,4,0,,1,600.0,1.0,150.0,600.0
1572,3426,SLV,1184,15574,San juan buena vista,1,1,31,5,0,,1,300.0,1.0,100.0,300.0
1573,3425,SLV,1184,15574,El Zaral,1,2,23,4,0,,1,500.0,1.0,30.0,500.0
1574,3424,SLV,1184,15574,San juan buena vista ,1,1,40,4,1,50.0,1,400.0,,,400.0
1575,3423,SLV,1184,15573,Casco urbano,2,1,37,5,0,,1,0.0,1.0,300.0,0.0
1576,3422,SLV,1184,15573,El Corozo,1,1,23,7,1,,1,60.0,1.0,150.0,60.0
1577,3421,SLV,1184,15573,El Corozo,1,2,28,4,1,15.0,1,30.0,1.0,300.0,30.0
1578,3420,SLV,1184,15574,San Juan buena vista,1,1,40,2,0,,1,120.0,,,120.0
1579,3419,SLV,1184,15574,San Juan buena vista,1,2,21,5,0,,1,0.0,1.0,50.0,0.0
1580,3418,SLV,1184,15574,San Juan buena vista,1,2,66,2,0,,1,600.0,,,600.0
1581,3417,SLV,1184,15574,San Juan  buena vista,1,1,62,3,1,20.0,1,100.0,,,100.0
1582,3416,SLV,1184,15574,San Juan buena vista ,1,2,67,5,0,,1,0.0,1.0,360.0,0.0
1583,3415,SLV,1184,15573,San francisco menendez,2,1,50,3,1,,1,0.0,,,0.0
1584,3414,SLV,1184,15573,El corozo,1,1,35,5,1,100.0,1,500.0,,,500.0
1585,3413,SLV,1184,15573,Barrio el centro,2,1,60,3,1,,1,400.0,,,400.0
1586,3412,SLV,1184,15573,El corozo,1,1,64,2,0,,1,0.0,,,0.0
1587,3411,SLV,1184,15573,Irayol,1,2,25,7,1,100.0,1,60.0,1.0,200.0,60.0
1588,3410,SLV,1184,15573,El corozo,1,2,52,4,1,,1,200.0,1.0,570.0,200.0
1589,3409,SLV,1184,15572,Guayana abajo,1,2,33,3,0,,1,50.0,1.0,70.0,50.0
1590,3408,SLV,1184,15573,Barrio el centro,2,2,29,5,1,,1,125.0,1.0,300.0,125.0
1591,3407,SLV,1184,15573,El corozo,1,1,56,10,1,,1,10.0,1.0,200.0,10.0
1592,3406,SLV,1184,15573,El corozo,1,2,87,2,0,,1,0.0,1.0,50.0,0.0
1608,3390,SLV,1184,15572,Guayapa abajo,1,2,53,4,0,,1,80.0,,,80.0
1609,3389,SLV,1184,15572,Guayapa abajo,1,1,45,2,0,,1,0.0,,,0.0
1610,3388,SLV,1184,15572,El mango,1,2,82,1,0,,1,15.0,,,15.0
1611,3387,SLV,1184,15572,El mango,1,1,26,3,0,,1,30.0,1.0,140.0,30.0
1612,3386,SLV,1184,15566,"GUAYAPA ABAJO, LOS PATIOS",1,1,22,3,1,20.0,2,2.05,1.0,300.0,0.08405
1613,3385,SLV,1184,15566,LOS PATIOS,1,1,23,5,0,,1,0.0,1.0,120.0,0.0
1614,3384,SLV,1184,15572,EL MANGO,1,1,55,8,0,,1,0.0,,,0.0
1615,3383,SLV,1184,15572,EL MANGO,1,1,33,5,0,,1,0.0,1.0,100.0,0.0
1616,3382,SLV,1184,15572,Los patios,1,1,40,5,1,,1,270.0,1.0,100.0,270.0
1617,3381,SLV,1184,15572,Los patios,1,1,33,5,0,,1,1000.0,1.0,300.0,1000.0
1618,3380,SLV,1184,15572,Canserio el mango,1,1,25,3,0,,1,50.0,1.0,25.0,50.0
1619,3379,SLV,1184,15566,Guayapa abajo cacserio los patios,1,2,22,3,1,,1,0.0,1.0,250.0,0.0
1620,3378,SLV,1184,15572,Guayapa abajo,1,2,23,6,0,,1,100.0,,,100.0
1621,3377,SLV,1184,15572,Guayapa abajo comunidad el mango,1,1,28,3,0,,1,500.0,1.0,60.0,500.0
1622,3376,SLV,1184,15572,Guayapa abajo comunidad el mangito ,1,1,29,6,0,,1,0.0,,,0.0
1623,3375,SLV,1184,15572,"Guayapa abajo, los patios desvio el embarcadero. Desvio de la hacienda. ",1,1,50,5,1,100.0,1,200.0,1.0,250.0,200.0
1624,3374,SLV,1184,15572,Caserio el mango,1,2,31,6,0,,1,10.0,1.0,200.0,10.0
1625,3373,SLV,1184,15572,Caserio el mango,1,2,36,3,0,,1,0.0,,,0.0
1626,3372,SLV,1184,15572,Caser_o el mango,1,1,25,3,0,,1,200.0,1.0,200.0,200.0
1627,3371,SLV,1184,15572,Caserio el mango,1,1,47,2,0,,2,0.0,,,0.0
1628,3370,SLV,1184,15573,"Canton la hachadura, colonia paz y progreso ",1,2,45,4,0,,1,10.0,1.0,350.0,10.0
1629,3369,SLV,1184,15573,"Canton hachadura, caserio guayabo ",1,1,44,4,1,,1,40.0,1.0,180.0,40.0
1630,3368,SLV,1184,15573,"Canton la Hachadura, caserio el guayabo",1,1,28,3,1,100.0,1,100.0,1.0,500.0,100.0
1631,3367,SLV,1184,15573,La Hachadura,1,1,49,2,0,,1,50.0,1.0,125.0,50.0
1632,3366,SLV,1184,15573,La Hachadura,1,1,45,3,0,,1,40.0,1.0,120.0,40.0
1633,3365,SLV,1184,15573,CASERIO el Guayabo ,1,1,80,1,0,,1,200.0,,,200.0
1634,3364,SLV,1184,15573,El Guayabo,1,1,31,3,0,,1,100.0,1.0,300.0,100.0
1635,3363,SLV,1184,15573,"
El Guayabo",1,1,50,2,0,,1,0.0,1.0,50.0,0.0
1636,3362,SLV,1184,15573,El Guayabo,1,2,70,5,1,20.0,1,300.0,1.0,500.0,300.0
1637,3361,SLV,1184,15573,El Guayabo,1,1,32,6,0,,1,60.0,1.0,120.0,60.0
1638,3360,SLV,1184,15573,El guayabo,1,2,28,5,1,50.0,1,240.0,1.0,300.0,240.0
1639,3359,SLV,1184,15573,El Guayaba,1,1,20,3,0,,1,0.0,1.0,100.0,0.0
1640,3358,SLV,1184,15566,Guayabo,1,1,47,9,1,,1,600.0,,,600.0
1641,3357,SLV,1184,15566,Guayabo,1,1,18,3,1,,1,100.0,,,100.0
1642,3356,SLV,1184,15573,Guayabo,1,1,35,15,0,,1,1000.0,1.0,350.0,1000.0
1643,3355,SLV,1184,15573,EL guayabo,1,2,38,2,0,,1,250.0,1.0,625.0,250.0
1644,3354,SLV,1184,15573,El Guayabo ,1,1,75,9,1,50.0,1,250.0,1.0,200.0,250.0
1645,3353,SLV,1184,15574,San Juan Buena Vista,1,1,21,5,1,,1,60.0,,,60.0
1646,3352,SLV,1184,15574,San Juan Buena Vista,1,1,60,2,1,80.0,1,450.0,1.0,250.0,450.0
1647,3351,SLV,1184,15574,San Juan Buena Vista,1,1,48,2,0,,1,0.0,1.0,100.0,0.0
1648,3350,SLV,1184,15566,San juan buenavista,1,1,39,6,0,,1,30.0,,,30.0
1649,3349,SLV,1184,15566,La seril,1,2,62,4,0,,1,56.0,,,56.0
1650,3348,SLV,1184,15574,El saral,1,1,50,3,0,,1,70.0,,,70.0
1651,3347,SLV,1184,15574,Caserio el sarat,1,1,79,2,0,,1,300.0,1.0,70.0,300.0
2203,2795,SLV,1184,15566,"El Junquillo, San Venancio",1,1,28,4,0,,1,97.0,1.0,150.0,97.0
2204,2794,SLV,1184,15566,"El Junquillo, San Venancio",1,1,29,4,0,,1,23.0,1.0,150.0,23.0
2205,2793,SLV,1184,15566,"El Junquillo, San Venancio",1,1,58,3,1,,1,60.0,1.0,200.0,60.0
2211,2787,SLV,1184,15566,Caser_o san venancio,1,1,57,4,1,,1,35.0,1.0,100.0,35.0
2212,2786,SLV,1184,15566,Cacer_o san venancio,1,2,48,3,0,,1,500.0,1.0,450.0,500.0
2217,2781,SLV,1184,15572,Junquillo,1,1,18,3,1,,1,0.0,1.0,35.0,0.0
2218,2780,SLV,1184,15572,Junquillo,1,1,50,6,0,,1,0.0,1.0,300.0,0.0
2219,2779,SLV,1184,15572,Guayapa Arriba,1,1,52,3,1,,1,1600.0,1.0,300.0,1600.0
2225,2773,SLV,1184,15566,"Junquillo, san venancio",1,1,36,2,0,,1,20.0,1.0,30.0,20.0
2226,2772,SLV,1184,15566,Junquillo,1,1,55,3,0,,1,100.0,,,100.0
2227,2771,SLV,1184,15566,Junquillo,1,1,32,4,1,,1,600.0,,,600.0
2228,2770,SLV,1184,15566,El Junquillo,1,1,28,3,0,,1,25.0,,,25.0
2229,2769,SLV,1184,15566,El junquillo,1,1,42,3,1,100.0,1,300.0,,,300.0
2230,2768,SLV,1184,15566,Junquillo,1,2,70,7,0,,1,100.0,1.0,70.0,100.0
2231,2767,SLV,1184,15566,Junquillo,1,1,28,5,1,5.0,1,0.0,,,0.0
2232,2766,SLV,1184,15566,Junquillo,1,2,24,2,0,,1,0.0,1.0,120.0,0.0
2233,2765,SLV,1184,15566,Junquillo,1,2,67,6,0,,1,0.0,1.0,50.0,0.0
2252,2746,SLV,1184,15566,Los Magueyes,1,1,21,3,0,,1,40.0,,,40.0
2253,2745,SLV,1184,15566,Los magueyes,1,1,32,4,0,,1,20.0,,,20.0
2254,2744,SLV,1184,15566,Caserio los Magueyes,1,2,38,3,0,,1,70.0,1.0,340.0,70.0
2255,2743,SLV,1184,15566,Los magueyes,1,1,66,2,0,,1,6.0,,,6.0
2256,2742,SLV,1197,15812,Barrio el calvario,2,1,52,3,0,,1,45.0,,,45.0
2257,2741,SLV,1184,15566,SAN Antonio 2,1,1,68,3,0,,1,0.0,1.0,70.0,0.0
2258,2740,SLV,1197,15812,Barrio el calvario,2,1,30,4,1,,1,30.0,,,30.0
2259,2739,SLV,1184,15566,LOS magueyes,1,1,49,11,0,,1,0.0,1.0,150.0,0.0
2260,2738,SLV,1184,15566,LOS Magueyes,1,2,31,6,0,,1,0.0,1.0,200.0,0.0
2261,2737,SLV,1184,15566,LOS Magueyes,1,1,30,5,0,,1,80.0,1.0,150.0,80.0
2262,2736,SLV,1184,15566,Los magueyes ,1,1,24,3,0,,1,30.0,,,30.0
2263,2735,SLV,1184,15566,Los magueyes,1,1,60,3,0,,1,0.0,,,0.0
2264,2734,SLV,1184,15566,Los maguelles,1,1,26,3,0,,1,50.0,1.0,90.0,50.0
2265,2733,SLV,1184,15566,Los magueyes,1,1,34,5,0,,1,50.0,1.0,80.0,50.0
2266,2732,SLV,1184,15566,Los magueyes,1,1,32,7,0,,1,30.0,,,30.0
2267,2731,SLV,1184,15566,Los magueyes,1,2,31,3,0,,1,20.0,1.0,400.0,20.0
2274,2724,SLV,1184,15566,Los magueyes ,1,1,36,5,0,,1,50.0,,,50.0
2275,2723,SLV,1184,15566,Los magueyes,1,1,62,4,0,,1,0.0,1.0,140.0,0.0
2276,2722,SLV,1184,15566,Los magueyes,1,1,35,3,0,,1,70.0,1.0,190.0,70.0
2277,2721,SLV,1184,15566,Caseria,1,1,52,11,0,,1,10.0,,,10.0
2278,2720,SLV,1184,15566,Caserio,1,1,65,6,0,,1,300.0,1.0,100.0,300.0
2279,2719,SLV,1184,15566,Caserio,1,1,32,4,0,,1,50.0,1.0,80.0,50.0
2280,2718,SLV,1184,15566,Caserio,1,1,26,7,0,,1,0.0,1.0,100.0,0.0
2281,2717,SLV,1184,15566,Palo pique ,1,1,37,5,0,,1,180.0,,,180.0
2282,2716,SLV,1184,15566,Palo pique,1,1,76,6,0,,1,0.0,,,0.0
