,rsp_id,country,departamento,municipio,neighborhood,rural_urban,rsp_sex,rsp_age,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_currency,exp_6months_health,avg_income_currency,avg_income_amount,exp_6months_health_USD
2756,2242,HND,901726,1021450,Malpaso,1,2,33,3,1,,2,328.0,,,13.448
2757,2241,HND,901726,1021450,Malpaso,1,1,32,5,0,,2,1230.0,,,50.43
2758,2240,HND,901726,1021450,Malpaso,1,2,18,4,1,,2,82.0,,,3.362
2759,2239,HND,901726,1021450,Malpaso,1,2,27,3,0,,2,0.0,,,0.0
2760,2238,HND,901742,1021724,Barrio Jazmin,2,1,38,4,0,,2,225.5,2.0,492.0,9.2455
2761,2237,HND,901726,1021442,Barrio las Arenas,2,1,57,3,0,,2,0.0,,,0.0
2762,2236,HND,901742,1021720,Arenal,2,1,49,7,0,,2,0.0,,,0.0
2763,2235,HND,901742,1021720,Arenal,2,1,30,4,1,,2,32.8,2.0,615.0,1.3448
2764,2234,HND,901742,1021720,Arenal,2,2,31,4,0,,2,164.0,,,6.724
2765,2233,HND,901742,1021720,Arenal,2,1,44,9,1,100.0,2,2050.0,,,84.05
2766,2232,HND,901742,1021720,Arenal,2,1,77,8,1,20.0,2,246.0,,,10.086
2767,2231,HND,901742,1021724,El Palmar,1,1,28,8,0,,2,0.0,,,0.0
2768,2230,HND,901726,1021449,San jer_nimo,2,1,35,3,1,20.0,2,0.0,2.0,246.0,0.0
2769,2229,HND,901726,1021449,San jer_nimo ,1,1,25,4,0,,2,82.0,2.0,143.5,3.362
2770,2228,HND,901726,1021449,San jeronimo,1,1,27,4,0,,2,0.0,2.0,102.5,0.0
2771,2227,HND,901726,1021449,San jer_nimo ,2,1,58,4,0,,2,98.4,2.0,328.0,4.034400000000001
2772,2226,HND,901726,1021449,San jeronimo,2,1,34,3,0,,2,8.2,,,0.3362
2773,2225,HND,901726,1021453,San Jos_ ,1,2,52,3,0,,2,49.2,2.0,205.0,2.0172000000000003
2774,2224,HND,901742,1021724,El Palmar,1,1,25,4,0,,2,73.8,2.0,492.0,3.0258
2775,2223,HND,901726,1021453,San Jos_ ,1,2,46,6,0,,2,41.0,2.0,123.0,1.681
2776,2222,HND,901726,1021453,San Jos_ ,1,2,51,4,0,,2,123.0,,,5.043
2777,2221,HND,901726,1021453,San Jos_ ,1,2,44,5,0,,2,8.2,,,0.3362
2778,2220,HND,901726,1021453,San jose,1,2,43,3,0,,2,41.0,2.0,164.0,1.681
2779,2219,HND,901726,1021453,San jose,1,1,37,3,0,,2,0.0,,,0.0
2780,2218,HND,901726,1021453,San jose,1,2,62,14,0,,2,0.0,2.0,205.0,0.0
2781,2217,HND,901726,1021453,San jose,1,2,67,4,0,,2,246.0,,,10.086
2782,2216,HND,901726,1021453,San jose,1,2,80,5,0,,2,0.0,,,0.0
2783,2215,HND,901726,1021441,Barrio el Colegio,2,2,44,3,0,,2,164.0,2.0,266.5,6.724
2784,2214,HND,901726,1021441,Barrio el Colegio,2,1,47,4,0,,2,123.0,2.0,352.6,5.043
