,rsp_id,country,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_health_USD,govt_ngo_help,health_top_priority
475,4523,SLV,1,1,30.0,300.0,0,1
477,4521,SLV,5,1,25.0,250.0,0,0
478,4520,SLV,4,0,,50.0,0,0
479,4519,SLV,6,0,,300.0,0,1
480,4518,SLV,5,0,,120.0,0,0
481,4517,SLV,4,1,,100.0,0,0
482,4516,SLV,2,1,50.0,200.0,0,0
484,4514,SLV,2,0,,300.0,0,1
486,4512,SLV,4,1,75.0,450.0,0,0
487,4511,SLV,4,1,100.0,800.0,0,1
488,4510,SLV,3,1,100.0,600.0,0,0
489,4509,SLV,3,0,,400.0,0,1
491,4507,SLV,4,1,100.0,160.0,0,0
492,4506,SLV,6,0,,240.0,0,0
493,4505,SLV,3,0,,60.0,0,1
494,4504,SLV,4,0,,100.0,0,1
495,4503,SLV,3,1,,60.0,0,0
496,4502,SLV,3,0,,50.0,1,0
497,4501,SLV,5,0,,300.0,1,1
498,4500,SLV,4,0,,350.0,0,0
500,4498,SLV,1,0,,300.0,0,0
501,4497,SLV,3,0,,800.0,0,0
502,4496,SLV,6,1,,50.0,0,0
504,4494,SLV,2,0,,100.0,0,1
505,4493,SLV,4,0,,200.0,0,0
506,4492,SLV,9,0,,200.0,0,0
508,4490,SLV,4,0,,150.0,0,0
509,4489,SLV,4,1,,50.0,0,0
510,4488,SLV,6,0,,0.06724,0,0
511,4487,SLV,3,0,,200.0,0,0
512,4486,SLV,4,0,,40.0,0,0
514,4484,SLV,3,0,,50.0,0,0
515,4483,SLV,4,0,,200.0,0,1
516,4482,SLV,4,0,,200.0,0,1
517,4481,SLV,6,0,,100.0,0,0
518,4480,SLV,3,0,,100.0,0,0
519,4479,SLV,4,0,,200.0,0,0
521,4477,SLV,9,0,,180.0,0,0
522,4476,SLV,1,1,,20.0,0,0
525,4473,SLV,3,99,,30.0,0,0
527,4471,SLV,4,0,,50.0,0,0
528,4470,SLV,2,1,25.0,50.0,0,1
621,4377,SLV,9,0,,500.0,0,0
622,4376,SLV,5,1,25.0,500.0,0,0
623,4375,SLV,4,0,,80.0,0,0
624,4374,SLV,7,0,,25.0,0,0
625,4373,SLV,3,0,,160.0,0,0
627,4371,SLV,10,1,30.0,50.0,0,0
630,4368,SLV,8,1,,50.0,0,1
632,4366,SLV,4,0,,180.0,0,0
634,4364,SLV,4,1,,100.0,0,0
635,4363,SLV,7,1,,700.0,0,0
636,4362,SLV,2,0,,180.0,0,0
650,4348,SLV,6,0,,60.0,1,0
651,4347,SLV,6,0,,26.0,1,1
658,4340,SLV,5,1,80.0,500.0,0,0
